"ID Ocorrencia","Data","Hora","Logradouro","Bairro","Natureza","Coordenadas","F1P","F2P","F3P","F4P","F5P","F6P","F7P","F8P","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","C10P"
"170001","2017-01-01","23:20","rua catigua ponte -  proximo da rua betoia","jardim canguru","colisão lateral",,,,,,,,,,,"8",,,,,,,,
"170002","2017-01-11","19:53","avenida prefeito heraclito diniz de figueiredo proximo a rua aracari","jd. seminario","colisão frontal",,"8",,,,,,,,,,,,,,,,,
"170003","2017-01-15","04:00","rua petropolis apos a r. rolim moreira","residencial oliveira","choque",,"8",,,,,,,,,,,,,,,,,
"170004","2017-01-16","15:05","avenida guaicurus posto seara","jd itamaraca","colisão transversal",,,,,,,,,,,"8",,,,,,,,
"170005","2017-01-18","21:40","rua sertaozinho    ","vila ipiranga","colisão lateral",,"8",,,,,,,,,,,,,,,,,"10"
"170006","2017-02-01","12:00","rua eduardo santos pereira    ","sao francisco",,,,,,,,,,,,,,,,,,,,
"170007","2017-02-03","15:08","rua joao hernandez    ","conjunto parati ii","colisão frontal",,,,,,,,,,,"10",,,,,,,,
"170008","2017-02-03","18:43","avenida por do sol    ","jardim aero porto","colisão transversal",,"8",,,,,,,,,,,,"10",,,,,
"170009","2017-02-13","15:42","rua dom aquino    ","amambai","atropelamento",,,,,,,,,,,,,,,,,,,
"170010","2017-02-18","02:40","rua joaquim murtinho    ","itanhanga park","colisão transversal",,,,,,,,,,"10",,,,,,,,,
"170011","2017-03-03","20:53","avenida nasri siufi    ","sao jorge da lagoa","atropelamento",,"10",,,,,,,,,,,,,,,,,
"170012","2017-03-07","21:09","rua teobaldo kafer 00","vila neusa","atropelamento",,,,,,,"10",,,,,,,,,,,,
"170013","2017-03-08","22:52","rua do dinar    ","vila carlota","atropelamento",,,,,,,,,,,,,,,,,,,
"170014","2017-03-09","02:30","avenida mato grosso em frente ao numero  (walm","centro","colisão frontal",,"8",,"6",,,,,,,"10",,,,,,,,
