d_semana,hora,municipio,bairro,sexo,idade,lat,long
quinta,18,CURITIBA,SANTA FELICIDADE,Masculino,42,-25.3939453220515,-49.3493506018544
quinta,18,CURITIBA,SANTA FELICIDADE,Masculino,42,-25.3939453220515,-49.3493506018544
sexta,11,CURITIBA,TATUQUARA,Feminino,57,-25.5686137949943,-49.3200419144058
sexta,8,CURITIBA,CENTRO,Feminino,37,-25.4495281,-49.2650481
quinta,6,CURITIBA,NOVO MUNDO,Feminino,42,-25.482244009184,-49.2928319311488
sabado,13,CURITIBA,BAIRRO ALTO,Masculino,25,-25.4230139886661,-49.2088690934885
sexta,18,CURITIBA,AGUA VERDE,Masculino,5,-25.4713135,-49.2943263
segunda,13,CURITIBA,CENTRO,Feminino,22,-25.4637279731938,-49.2602663492894
segunda,18,CURITIBA,PORTAO,,,-25.477307690747,-49.2923649660877
segunda,17,CURITIBA,CENTRO,Feminino,19,-25.444374,-49.2751219
terça,14,CURITIBA,CENTRO,Masculino,68,-25.4321149273431,-49.2657404459793
terça,17,CURITIBA,SAO BRAZ,Feminino,64,-25.4173422408279,-49.3438834915927
terça,20,CURITIBA,SITIO CERCADO,Feminino,49,-25.5508035992452,-49.2483501297512
terça,20,CURITIBA,XAXIM,Masculino,59,-25.5120539264272,-49.2743645364136
terça,22,CURITIBA,CABRAL,Masculino,31,-25.4101719752129,-49.2560762264019
quarta,13,CURITIBA,CENTRO CIVICO,Feminino,24,-25.4241411706971,-49.270225738701
sexta,14,CURITIBA,CENTRO,Feminino,55,-25.4300911316791,-49.2636335373119
sexta,14,CURITIBA,CENTRO,Masculino,1,-25.4300911316791,-49.2636335373119
sexta,8,CURITIBA,CABRAL,Masculino,19,-25.4087767,-49.2532547
sabado,7,CURITIBA,CRISTO REI,Feminino,77,-25.4392486454647,-49.2347391363667
sabado,12,CURITIBA,SAO FRANCISCO,Feminino,58,-25.4252475458723,-49.271429027516
segunda,11,CURITIBA,TATUQUARA,Masculino,39,-24.490404,-51.731194
segunda,14,CURITIBA,SAO FRANCISCO,Feminino,23,-25.4089185,-49.3222402
terça,12,CURITIBA,CAJURU,Feminino,23,-25.4466569409295,-49.2169289501465
sabado,16,CURITIBA,UMBARA,Masculino,53,-25.5376629658952,-49.2949392905765
sabado,20,CURITIBA,BOQUEIRAO,Masculino,5,-25.5228234704643,-49.2270717870271
terça,16,CURITIBA,AGUA VERDE,Masculino,76,-25.3850138124519,-49.2480660029327
segunda,7,CURITIBA,REBOUCAS,Masculino,21,-25.4455238848557,-49.2649420233548
segunda,7,CURITIBA,REBOUCAS,Feminino,59,-25.4455238848557,-49.2649420233548
quinta,11,CURITIBA,CIDADE INDUSTRIAL,Masculino,9,-25.4879509994075,-49.3183609705457
quinta,17,CURITIBA,BARREIRINHA,Feminino,34,-25.3522895074303,-49.2646827445094
quinta,12,CURITIBA,ALTO DA GLORIA,Feminino,61,-25.4210613732091,-49.2660540703192
quinta,17,CURITIBA,SITIO CERCADO,Masculino,9,-25.5319896864607,-49.2873166146085
sabado,1,CURITIBA,TATUQUARA,Masculino,21,,
sabado,1,CURITIBA,TATUQUARA,Masculino,20,,
quarta,21,CURITIBA,CENTRO CIVICO,Masculino,57,-25.413454496635,-49.2701669843733
sabado,11,CURITIBA,FAZENDINHA,Feminino,42,-25.4106559009996,-49.2743894255348
quarta,16,CURITIBA,SITIO CERCADO,Masculino,51,-25.5541613765504,-49.2612415587271
sabado,17,CURITIBA,ALTO BOQUEIRAO,Feminino,49,-25.498879511394,-49.2773687559212
segunda,8,CURITIBA,XAXIM,Feminino,16,-25.4744674222845,-49.2520221649492
terça,17,CURITIBA,AGUA VERDE,Masculino,46,-25.4484719257676,-49.2879355093047
terça,17,CURITIBA,AGUA VERDE,Feminino,63,-25.4484719257676,-49.2879355093047
terça,13,CURITIBA,CENTRO,Masculino,49,-25.4312805396387,-49.2718347066983
domingo,23,CURITIBA,BOQUEIRAO,Masculino,16,-25.4707570905864,-49.2304048549524
quinta,0,CURITIBA,CENTRO,Masculino,17,-25.4358134222274,-49.2616873372489
quinta,15,CURITIBA,CENTRO,Feminino,26,-25.4294678706687,-49.2715069785849
sexta,11,CURITIBA,SANTA FELICIDADE,Feminino,68,-25.3867862093796,-49.3267406830787
sexta,16,CURITIBA,XAXIM,Masculino,74,-25.5102568217079,-49.2715879787701
sexta,21,CURITIBA,CIDADE INDUSTRIAL,Masculino,29,-25.5002986404237,-49.3243743828891
