"Bairro","nome","pop"
"GANCHINHO","GANCHINHO",7325
"SITIO CERCADO","SITIO CERCADO",102410
"UMBARA","UMBARA",14595
"ABRANCHES","ABRANCHES",11165
"ATUBA","ATUBA",12632
"BACACHERI","BACACHERI",23106
"BAIRRO ALTO","BAIRRO ALTO",42033
"BARREIRINHA","BARREIRINHA",17021
"BOA VISTA","BOA VISTA",29391
"CACHOEIRA","CACHOEIRA",7738
"PILARZINHO","PILARZINHO",27907
"SANTA CANDIDA","SANTA CANDIDA",27870
"SAO LOURENCO","SAO LOURENCO",5556
"TABOAO","TABOAO",2668
"TARUMA","TARUMA",7045
"TINGUI","TINGUI",11654
"ALTO BOQUEIRAO","ALTO BOQUEIRAO",51155
"BOQUEIRAO","BOQUEIRAO",68495
"HAUER","HAUER",13851
"XAXIM","XAXIM",54691
"CAJURU","CAJURU",89784
"CAPAO DA IMBUIA","CAPAO DA IMBUIA",20976
"GUABIROTUBA","GUABIROTUBA",10678
"UBERABA","UBERABA",60338
"AUGUSTA","AUGUSTA",3617
"CIDADE INDUSTRIAL","CIDADE INDUSTRIAL",157461
"SAO MIGUEL","SAO MIGUEL",4911
"AGUA VERDE","AGUA VERDE",49866
"CAMPO COMPRIDO","CAMPO COMPRIDO",21638
"FANNY","FANNY",7866
"FAZENDINHA","FAZENDINHA",26122
"GUAIRA","GUAIRA",14268
"LINDOIA","LINDOIA",8343
"NOVO MUNDO","NOVO MUNDO",42999
"PAROLIN","PAROLIN",11982
"PORTAO","PORTAO",40735
"SANTA QUITERIA","SANTA QUITERIA",11720
"VILA IZABEL","VILA IZABEL",10949
"AHU","AHU",11148
"ALTO DA GLORIA","ALTO DA GLORIA",5588
"BATEL","BATEL",11778
"BIGORRILHO","BIGORRILHO",27127
"BOM RETIRO","BOM RETIRO",5633
"CABRAL","CABRAL",11720
"CENTRO","CENTRO",32623
"CENTRO CIVICO","CENTRO CIVICO",4767
"CRISTO REI","CRISTO REI",13325
"HUGO LANGE","HUGO LANGE",3167
"JARDIM BOTANICO","JARDIM BOTANICO",6153
"JARDIM SOCIAL","JARDIM SOCIAL",6085
"JUVEVE","JUVEVE",11281
"MERCES","MERCES",14089
"PRADO VELHO","PRADO VELHO",7084
"REBOUCAS","REBOUCAS",15618
"SAO FRANCISCO","SAO FRANCISCO",6435
"CAMPO DE SANTANA","CAMPO DE SANTANA",7335
"CAPAO RASO","CAPAO RASO",34376
"CAXIMBA","CAXIMBA",2475
"PINHEIRINHO","PINHEIRINHO",27907
"TATUQUARA","TATUQUARA",36339
"BUTIATUVINHA","BUTIATUVINHA",10759
"CAMPINA DO SIQUEIRA","CAMPINA DO SIQUEIRA",7108
"CAMPO COMPRIDO","CAMPO COMPRIDO",21638
"CASCATINHA","CASCATINHA",2061
"MOSSUNGUE","MOSSUNGUE",5628
"ORLEANS","ORLEANS",7260
"SANTA FELICIDADE","SANTA FELICIDADE",25209
"SANTO INACIO","SANTO INACIO",6037
"SAO BRAZ","SAO BRAZ",23119
"SAO JOAO","SAO JOAO",2950
"SEMINARIO","SEMINARIO",7395
"VISTA ALEGRE","VISTA ALEGRE",9930
