CD_MUN,NM_MUN,pc_iluminacao,classe_ilu,tx_atropelamento,classe_obt,classe_bivariada
3509205,Cajamar,87.29,Baixa,18.4875157914197,Média,Baixa_Média
3549805,São José do Rio Preto,97.05,Média,25.3191306965552,Alta,Média_Alta
3530607,Mogi das Cruzes,91.83,Baixa,30.7613432453217,Alta,Baixa_Alta
3513009,Cotia,84.47,Baixa,17.7697871806665,Média,Baixa_Média
3524709,Jaguariúna,91.19,Baixa,16.1809679455025,Média,Baixa_Média
3548708,São Bernardo do Campo,96.11,Média,31.8858202091853,Alta,Média_Alta
3529401,Mauá,94.28,Média,24.2209697703666,Alta,Média_Alta
3518800,Guarulhos,93.57,Baixa,30.4006945332267,Alta,Baixa_Alta
3518701,Guarujá,86.99,Baixa,34.5794360839806,Alta,Baixa_Alta
3509502,Campinas,93.96,Média,20.9110294719038,Média,Média_Média
3543303,Ribeirão Pires,93.67,Baixa,21.0301403972173,Média,Baixa_Média
3550308,São Paulo,93.75,Baixa,37.3584200784527,Alta,Baixa_Alta
3552205,Sorocaba,94.85,Média,29.4405373756203,Alta,Média_Alta
3534401,Osasco,93.83,Baixa,22.9869265158161,Alta,Baixa_Alta
3548500,Santos,93.67,Baixa,35.1516759900085,Alta,Baixa_Alta
3507506,Botucatu,95.26,Média,25.923611757355,Alta,Média_Alta
3525904,Jundiaí,94.16,Média,22.8105658541036,Alta,Média_Alta
3506003,Bauru,95.6,Média,25.5271353448716,Alta,Média_Alta
3547809,Santo André,94.26,Média,23.1151222982596,Alta,Média_Alta
3509007,Caieiras,92.86,Baixa,12.2128703298493,Média,Baixa_Média
3523404,Itatiba,94.03,Média,28.4803367008694,Alta,Média_Alta
3524402,Jacareí,94.88,Média,20.8026627408308,Média,Média_Média
3527207,Lorena,98.1,Alta,22.8911525695319,Alta,Alta_Alta
3543402,Ribeirão Preto,95.62,Média,25.5354200988468,Alta,Média_Alta
3549904,São José dos Campos,97.64,Alta,22.6283052503187,Alta,Alta_Alta
3506102,Bebedouro,98.16,Alta,17.9005242296382,Média,Alta_Média
3516408,Franco da Rocha,83.52,Baixa,22.0314315089528,Alta,Baixa_Alta
3552809,Taboão da Serra,96.61,Média,12.6638384094219,Média,Média_Média
3545803,Santa Bárbara d'Oeste,98.39,Alta,26.9359558039062,Alta,Alta_Alta
3503208,Araraquara,98.98,Alta,12.6824087064736,Média,Alta_Média
3526704,Leme,98.9,Alta,29.6103280824352,Alta,Alta_Alta
3530805,Mogi Mirim,94.76,Média,16.7479640756171,Média,Média_Média
3507605,Bragança Paulista,92.87,Baixa,23.8309303811866,Alta,Baixa_Alta
3541406,Presidente Prudente,98.99,Alta,33.3215141637795,Alta,Alta_Alta
3503802,Artur Nogueira,95.01,Média,16.9309780461651,Média,Média_Média
3552502,Suzano,88.9,Baixa,22.2734616410208,Alta,Baixa_Alta
3538709,Piracicaba,96.24,Média,23.6995444674097,Alta,Média_Alta
3541000,Praia Grande,97.09,Alta,28.4481791797624,Alta,Alta_Alta
3519071,Hortolândia,97.86,Alta,10.9165450347914,Média,Alta_Média
3557006,Votorantim,92.62,Baixa,27.8511693727465,Alta,Baixa_Alta
3526803,Lençóis Paulista,98.14,Alta,14.6209518239637,Média,Alta_Média
3537800,Piedade,83.49,Baixa,20.281357744713,Média,Baixa_Média
3549706,São José do Rio Pardo,97.15,Alta,20.5930807248764,Média,Alta_Média
3506508,Birigui,97.11,Alta,29.2711484047224,Alta,Alta_Alta
3523107,Itaquaquecetuba,84.27,Baixa,19.3453431314882,Média,Baixa_Média
3509700,Campos do Jordão,87.27,Baixa,25.0088573036284,Alta,Baixa_Alta
3522307,Itapetininga,96.81,Média,32.36166912941,Alta,Média_Alta
3536505,Paulínia,94.12,Média,16.4231999308497,Média,Média_Média
3542602,Registro,95.79,Média,24.2985809628718,Alta,Média_Alta
3521804,Itaí,51.68,Baixa,26.9957578094871,Alta,Baixa_Alta
3547304,Santana de Parnaíba,97.26,Alta,7.39184802360463,Baixa,Alta_Baixa
3533908,Olímpia,96.17,Média,17.6363732562036,Média,Média_Média
3513801,Diadema,98.0,Alta,26.7248674891987,Alta,Alta_Alta
3510500,Caraguatatuba,94.27,Média,39.6926653624791,Alta,Média_Alta
3526902,Limeira,95.86,Média,18.9540049479929,Média,Média_Média
3557105,Votuporanga,98.36,Alta,21.9650755299075,Alta,Alta_Alta
3543907,Rio Claro,98.07,Alta,16.2790809022441,Média,Alta_Média
3537107,Pedreira,93.86,Baixa,20.3013624469909,Média,Baixa_Média
3529005,Marília,98.82,Alta,23.1118247393838,Alta,Alta_Alta
3515509,Fernandópolis,96.99,Média,25.9258248505854,Alta,Média_Alta
3538006,Pindamonhangaba,96.31,Média,23.8334680021159,Alta,Média_Alta
3539806,Poá,96.64,Média,22.5498210107957,Alta,Média_Alta
3549102,São João da Boa Vista,98.21,Alta,28.1948998558927,Alta,Alta_Alta
3556701,Vinhedo,92.07,Baixa,16.4068908941756,Média,Baixa_Média
3522604,Itapira,92.7,Baixa,18.9396501576049,Média,Baixa_Média
3548906,São Carlos,98.48,Alta,17.3392538089817,Média,Alta_Média
