UF,LAT,LONG,DOM2022,POP2022
AC,-8.77,-70.55,319315,830026
AL,-9.71,-35.73,1322185,3127511
AM,-3.07,-61.66,1307114,733508
AP,1.41,-51.77,251949,3941175
BA,-12.96,-38.51,6873605,14136417
CE,-3.71,-38.54,3824577,8791688
DF,-15.83,-47.86,1172588,2817068
ES,-19.19,-40.34,1796656,3833486
GO,-16.64,-49.31,3211145,7055228
MA,-2.55,-44.30,2590426,6775152
MT,-12.64,-55.42,1565586,3658813
MS,-20.51,-54.54,1208975,2756700
MG,-18.10,-44.38,9574412,20538718
PA,-5.53,-52.29,3056893,8116132
PB,-7.06,-35.55,1805260,3974495
PR,-24.89,-51.55,5028471,11443208
PE,-8.28,-35.07,4094799,9058155
PI,-8.28,-43.68,1419460,3269200
RJ,-22.84,-43.15,7714983,16054524
RN, -5.22,-36.52,1501657,3302406
RO,-11.22,-62.80,729955,636303
RS,-30.01,-51.22,5327241,10880506
RR, 1.89,-61.22,211862,1581016
SC,-27.33,-49.44,3474817,636303
SE,-10.90,-37.07,19640954,2209558
SP,-23.55,-46.64,1007165,44420459
TO,-10.25,-48.25,655971,1511459
