Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;DIESEL S10;28/12/2023;7,87;;R$ / litro;VIBRA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL;28/12/2023;7,85;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL S10;28/12/2023;7,87;;R$ / litro;IPIRANGA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;DIESEL;28/12/2023;7,04;;R$ / litro;VIBRA
N;AC;RIO BRANCO;CODEPE COMBUSTIVEIS LTDA; 08.220.930/0001-62;RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2;2755;LOTE  01/02/03/04/05 E 33;PORTAL DA AMAZONIA;69915-630;DIESEL S10;28/12/2023;7,09;;R$ / litro;VIBRA
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;ESTRADA JARBAS PASSARINHO;115;;PLACAS;69900-970;DIESEL;29/12/2023;6,79;;R$ / litro;VIBRA
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;ESTRADA JARBAS PASSARINHO;115;;PLACAS;69900-970;DIESEL S10;29/12/2023;6,99;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;DIESEL;28/12/2023;6,94;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CASTANHEIRA LTDA.; 06.003.183/0001-85;ESTRADA DA FLORESTA;S/N;;FLORESTA;69906-380;DIESEL S10;28/12/2023;6,99;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;DIESEL;28/12/2023;6,96;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;DIESEL S10;28/12/2023;6,99;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO CIDADE LTDA; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;DIESEL;28/12/2023;6,95;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO CIDADE LTDA; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;DIESEL S10;28/12/2023;6,99;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;DIESEL;28/12/2023;6,96;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;DIESEL S10;28/12/2023;6,99;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO CANINDE LTDA; 05.442.544/0001-27;RODOVIA AC 40;3206;KM 07;VILA ACRE;69902-450;DIESEL;28/12/2023;6,96;;R$ / litro;SABBÁ
